,id,year,release_years,movieLength,rating_kp,ageRating,votes_kp,budget,audience_count,fees_russia,sequelsAndPrequels,ticketsOnSale,actor,designer,writer,producer,operator,director,composer,editor,type_movie,num_actors,num_countries,num_genres,is_sequel,is_adult
10728,713355,2013,2022.5,112.0,4.058,12.0,10065,12000000.0,27230.0,1157937.0,0,False,4,4,1,1,3,1,25,1,True,47,1,1,0,0
10729,922150,2016,2022.5,118.0,7.078,18.0,59139,1000000.0,27230.0,241818.0,0,False,3,6,3,15,17,8,2,6,True,13,1,1,0,1
10738,468174,2012,2022.5,83.0,3.323,6.0,3568,3500000.0,330019.0,1974263.0,2,False,2,2,1,11,2,2,3,554,False,23,1,3,1,0
10739,481576,2010,2022.5,98.0,6.959,18.0,6055,0.0,44636.0,258379.0,0,False,10,399,4,8,5,9,2,2,True,16,1,2,0,1
10741,468223,2012,2022.5,127.0,6.152,16.0,4727,3500000.0,14000.0,86619.0,0,False,5,1,1,1,2,2,2,2,True,21,3,1,0,0
10744,1182700,2018,2022.5,101.0,7.321,18.0,619,0.0,2259.0,9670.0,0,False,83,399,3,2,13,3,3,3,True,0,1,1,0,1
10751,687193,2014,2022.5,106.0,5.666,6.0,66803,0.0,2116997.0,12848123.0,9,False,26,7,2,25,18,2,44,13,True,50,1,3,1,0
10753,636356,2011,2022.5,87.0,6.164,16.0,5948,0.0,96000.0,307200.0,2,False,1,399,1,1,1,1,2,1,True,26,1,2,1,0
10778,712705,2013,2022.5,99.0,3.774,12.0,7291,0.0,435436.0,2866904.0,1,False,3,5,1,3,8,2,17,23,True,50,1,1,1,0
10780,629901,2013,2022.5,90.0,5.144,12.0,3221,1100000.0,14987.0,94326.0,1,False,3,1,3,2,2,1,1,1,True,26,1,2,1,0
10788,843798,2015,2022.5,94.0,6.201,16.0,5637,10000000.0,23287.0,67570.0,0,False,1,399,4,4,2,1,1,1,True,9,1,2,0,0
10810,762884,2014,2022.5,91.0,5.926,18.0,31615,10000000.0,310000.0,2237561.0,1,False,1,1,1,2,1,20,11,1,True,32,2,4,1,1
10811,676393,2013,2022.5,100.0,5.307,12.0,8671,5000000.0,27230.0,352788.0,0,False,4,11,14,22,12,2,17,10,True,50,1,2,0,0
10817,892283,2015,2022.5,80.0,0.0,18.0,412,0.0,2164.0,10735.0,0,False,1,9,3,17,14,1,5,1,True,17,1,3,0,1
10837,1003903,2015,2022.5,94.0,5.149,12.0,314,0.0,27230.0,648.0,0,False,7,1,4,2,2,1,13,2,True,8,3,1,0,0
10848,1085625,2018,2022.5,88.0,6.152,18.0,5080,0.0,27230.0,141490.0,0,False,1,1,1,1,3,1,1,1,True,9,4,1,0,1
10849,840255,2015,2022.5,77.0,6.362,12.0,3939,1100000.0,27230.0,19595.0,0,False,1,1,1,5,10,3,1,19,True,13,4,2,0,0
10850,916135,2015,2022.5,45.0,0.0,16.0,122,0.0,11470.0,21968.0,14,False,83,399,85,14,185,8,374,554,False,0,1,2,1,0
10854,1007425,2018,2022.5,95.0,5.964,18.0,23568,0.0,296823.0,1025364.0,0,False,2,5,4,2,7,10,374,3,True,12,1,1,0,1
10868,893326,2014,2022.5,74.0,0.0,0.0,87,5000000.0,1139.0,3441.0,0,False,83,399,1,1,2,3,1,1,True,0,1,1,0,0
10898,975933,2016,2022.5,50.0,6.235,18.0,539,0.0,1594.0,8330.0,0,False,2,399,85,1,185,1,374,554,True,6,2,2,0,1
10899,765099,2015,2022.5,86.0,6.348,16.0,3912,1500000.0,9319.0,36197.0,0,False,14,9,1,13,18,1,13,1,True,41,1,3,0,0
10918,432565,2010,2022.5,88.0,4.127,16.0,1796,0.0,24587.0,149255.0,0,False,1,16,1,1,12,1,4,554,True,50,1,1,0,0
10922,1167854,2018,2022.5,90.0,6.419,12.0,4206,0.0,27230.0,18751.0,0,False,4,1,2,5,2,2,13,554,True,9,1,2,0,0
10940,1309421,2019,2022.5,81.0,6.152,18.0,1421,0.0,425.0,1536.0,0,False,1,399,1,1,1,2,1,554,True,7,2,2,0,1
10943,839018,2015,2022.5,93.0,6.587,18.0,10802,1500000.0,27230.0,40840.0,0,False,10,6,3,22,5,11,18,18,True,46,1,1,0,1
10945,913060,2019,2022.5,81.0,5.207,16.0,8235,0.0,13578.0,47406.0,0,False,1,6,1,2,2,1,374,2,True,12,1,3,0,0
10953,493768,2010,2022.5,90.0,6.877,12.0,224010,0.0,4030348.0,22772019.0,10,False,7,2,3,25,18,9,18,11,True,48,1,1,1,0
10965,911178,2016,2022.5,97.0,6.644,18.0,8312,0.0,15378.0,56556.0,0,False,1,1,1,1,1,1,1,1,True,17,1,3,0,1
10988,1195680,2018,2022.5,88.0,0.0,18.0,258,0.0,277.0,2132.0,0,False,83,399,1,1,1,1,1,2,True,0,1,1,0,1
10993,425041,2010,2022.5,85.0,5.842,16.0,4075,4500000.0,168566.0,940479.0,1,False,1,1,4,1,7,4,1,1,True,25,1,2,1,0
11002,468244,2010,2022.5,86.0,6.194,18.0,6599,0.0,74739.0,437965.0,0,False,18,6,7,2,6,9,6,24,True,23,1,1,0,1
11003,842545,2015,2022.5,84.0,7.849,12.0,3139,7000000.0,9470.0,32235.0,0,False,4,1,2,2,2,2,3,1,True,30,1,2,0,0
